N	Familia	Genero	species	Autor	Sinonimos	Referencias	Taxones_infraespeceficos	Habito	Origen	Cat	Especimen_Representativo	Notas	Regiones_Biogeograficas	Elevacion_Minima	Elevacion_Maxima	Departamentos	Distribucion_global
3863	ORCHIDACEAE	Cycnoches	Cycnoches herrenhusanum	Jenny & G.A.Romero		Ortiz 1995		Hierba, Ep?fita	Nativa	Vulnerable	Jenny 86 (HT: AMES)	Tipo de Colombia	Pac?fico	50 m	50 m	Nari?o	
3864	ORCHIDACEAE	Cyrtidiorchis	Cyrtidiorchis frontinoensis	(Garay) Rauschert	Cyrtidium frontinoense Garay	Garay 1969		Hierba, Ep?fita	Nativa	No Evaluada	Escobar 13 (HT: AMES)	Tipo de Colombia	Andes	1400 m	2400 m	Antioquia, Santander	
3865	ORCHIDACEAE	Cyrtidiorchis	Cyrtidiorchis gerardi	P.Ortiz		Ortiz 2008		Hierba, Ep?fita	Nativa	No Evaluada	Ortiz 1286 (HT: HPUJ)		Andes	2700 m	2700 m	Norte de Santander	Cordillera Oriental
3866	ORCHIDACEAE	Cyrtochilum	Cyrtochilum albovirens	N.Guti?rrez & P.Harding		Guti?rrez Morales et al. 2018		Hierba	Nativa		Granados 555 (HT:JBB)	Tipo de Colombia	Andes	2381 m	2600 m	Boyac?, Santander	Colombia, Cordillera oriental
3867	ORCHIDACEAE	Cyrtochilum	Cyrtochilum annulare	(Rchb.f.) Kraenzl.	Cyrtochilum lucescens (Rchb.f.) Kraenzl., Cyrtochilum monachicum (Rchb.f.) Kraenzl., Oncidium annulare Rchb.f., Oncidium lucescens Rchb.f., Oncidium monachicum Rchb.f.	Id?rraga et al. 2011		Hierba, Ep?fita	Nativa	No Evaluada	Escobar 500 (HUA, MO)		Andes	2450 m	2710 m	Antioquia, Cauca	Colombia
3868	ORCHIDACEAE	Cyrtochilum	Cyrtochilum baldeviamae	(Rchb.f.) Kraenzl.	Oncidium baldeviamae Rchb.f.	Dalstr?m 2010		Hierba, Ep?fita	Nativa	No Evaluada	Carder 134 (HT: W)		Andes	2200 m	2200 m	Cundinamarca	
3869	ORCHIDACEAE	Cyrtochilum	Cyrtochilum betancurii	G.Giraldo & Dalstr?m		Giraldo & Dalstr?m 2012		Hierba, Ep?fita	Nativa	No Evaluada	Betancur 14882 (HT: COL)	Conocida solo del tipo	Andes	1600 m	1800 m	Antioquia	Cordillera Occidental
3870	ORCHIDACEAE	Cyrtochilum	Cyrtochilum caquetanum	P.Ortiz et al.		Ortiz 2012		Hierba, Ep?fita	Nativa	No Evaluada	Ortiz 1393 (HT: HPUJ)		Andes	1000 m	2000 m	Caquet?	
3871	ORCHIDACEAE	Cyrtochilum	Cyrtochilum corniculatum	Dalstr?m		Dalstr?m & Ruiz P?rez 2012		Hierba, Ep?fita	Nativa	No Evaluada	"Dodson 15264 (HT: RPSC	 IT: MO)"	Tipo de Colombia	Andes	2700 m	2700 m	Antioquia, Cundinamarca	
3872	ORCHIDACEAE	Cyrtochilum	Cyrtochilum dipterum	(Lindl.) Kraenzl.	Odontoglossum calodryas Rchb.f., Odontoglossum dipterum Lindl., Oncidium dipterum (Lindl.) Beer	Dalstr?m 2010, Calder?n-S?enz 2007, Id?rraga et al. 2011		Hierba, Ep?fita	Nativa	Vulnerable	Ospina 35 (JAUM)		Andes	2600 m	3500 m	Antioquia, Caldas, Quind?o, Tolima	Coordilleras Central y Occidental
3873	ORCHIDACEAE	Cyrtochilum	Cyrtochilum englerianum	(Kraenzl.) Kraenzl.	Oncidium englerianum Kraenzl.	Dalstr?m 2010		Hierba, Ep?fita	Nativa	No Evaluada	Lehmann 6005 (HT: K)	Tipo de Colombia	Andes	2800 m	2800 m	Cauca	
3874	ORCHIDACEAE	Cyrtochilum	Cyrtochilum exasperatum	(Linden & Rchb.f.) Kraenzl.	Oncidium exasperatum Linden & Rchb.f., Trigonochilum exasperatum (Linden & Rchb.f.) K?niger & Schildh.	Dalstr?m 2010		Hierba, Ep?fita	Nativa	No Evaluada	Roezl 1880 (HT: W de Oncidium exasperatum Rchb. f. & Linden)		Andes			Desconocido	
3875	ORCHIDACEAE	Cyrtochilum	Cyrtochilum ioplocon	(Rchb.f.) Dalstr?m	Odontoglossum ioplocon Rchb.f.	Calder?n-S?enz 2007, Id?rraga et al. 2011		Hierba, Terrestre	Nativa	Vulnerable	Triana s.n. (COL)		Andes	2500 m	3000 m	Antioquia, Cundinamarca, Santander	Cordillera Oriental
3876	ORCHIDACEAE	Cyrtochilum	Cyrtochilum ixioides	Lindl.	Cyrtochilum narthecioides Kraenzl., Odontoglossum ixioides (Lindl.) Lindl., Odontoglossum narthecioides (Kraenzl.) Garay, Oncidium ixioides (Lindl.) Beer	Calder?n-S?enz 2007		Hierba, Terrestre	Nativa	Vulnerable	s.c. s.n. (HT: K)	Tipo de Colombia	Andes	3000 m	3600 m	Boyac?, Cundinamarca	Cordillera Oriental
3877	ORCHIDACEAE	Cyrtochilum	Cyrtochilum kraenzlinianum	Szlach. & Kolan.		Szlachetko & Kolanowska 2014		Hierba, Terrestre	Nativa	No Evaluada	"Zarucchi 6210 (HT: COL	 IT: MO)"	Tipo de Colombia	Andes	2700 m	2700 m	Antioquia, Santander	Cordillera Oriental y Cental
3878	ORCHIDACEAE	Cyrtochilum	Cyrtochilum leucopterum	(Rchb.f.) Dalstr?m	Odontoglossum leucopterum Rchb.f.	Dalstr?m 2010, Calder?n-S?enz 2007		Hierba, Ep?fita	Nativa	Vulnerable	"Schlim 989 (HT: W	 IT: BR, K)"	Tipo de Colombia	Andes, Sierra Nevada de Santa Marta	2440 m	3300 m	Boyac?, Cundinamarca, Magdalena	
3879	ORCHIDACEAE	Cyrtochilum	Cyrtochilum maasii	Szlach. & Kolan.		Szlachetko & Kolanowska 2014		Hierba, Terrestre	Nativa	No Evaluada	Maas 2111 (HT: COL)	Tipo de Colombia	Andes	2100 m	3000 m	Boyac?, Cauca, Cundinamarca, Santander	
3880	ORCHIDACEAE	Cyrtochilum	Cyrtochilum metallicum	(Rchb.f.) Kraenzl.	Oncidium metallicum Rchb.f.	Dalstr?m 2010		Hierba, Ep?fita	Nativa	No Evaluada	Wallis s.n. (HT: W)	Tipo de Colombia	Andes			Desconocido	
3881	ORCHIDACEAE	Cyrtochilum	Cyrtochilum misasianum	P.Ortiz		Ortiz 1997		Hierba, Ep?fita	Nativa	No Evaluada	Misas 272d (IT: COL)	Tipo de Colombia	Andes	800 m	1000 m	Choc?	
3882	ORCHIDACEAE	Cyrtochilum	Cyrtochilum ramiro-medinae	P.Ortiz		Ortiz 2012		Hierba, Ep?fita	Nativa	No Evaluada	Medina 456 (HT: HPUJ)	Tipo de Colombia	Andes	2400 m	2400 m	Putumayo	
3883	ORCHIDACEAE	Cyrtochilum	Cyrtochilum rostratum	Schltr.	Oncidium rostratum (Schltr.) Garay			Hierba, Ep?fita	Nativa	No Evaluada			Andes			Desconocido	
3884	ORCHIDACEAE	Cyrtochilum	Cyrtochilum scabiosum	Kraenzl.	Dasyglossum scabiosum (Kraenzl.) K?niger & Schildh., Irenea scabiosa (Kraenzl.) Szlach., Odontoglossum scabiosum Kraenzl., Trigonochilum scabiosum (Kraenzl.) Senghas	Id?rraga et al. 2011		Hierba, Ep?fita	Nativa	No Evaluada	Fonnegra 3762 (HUA, MO)	Tipo de Colombia	Andes	2630 m	3600 m	Antioquia	
3885	ORCHIDACEAE	Cyrtochilum	Cyrtochilum schulzei	(Schltr.) Dalstr?m	Odontoglossum schulzei Schltr., Trigonochilum schultzei (Schltr.) K?niger & Schildh.	Dalstr?m 2010		Hierba, Ep?fita	Nativa	No Evaluada	Schultze 13 (HT: B(destruido) de Odontoglossum schultzei Schltr.)		Andes			Desconocido	
3886	ORCHIDACEAE	Cyrtochilum	Cyrtochilum tenense	(Rchb.f. & Warsz.) Kraenzl.	Oncidium tenense Rchb.f. & Warsz.	Dalstr?m 2010		Hierba, Ep?fita	Nativa	No Evaluada	"Hartweg s.n. (HT: W	 IT: K-L de Oncidium tenense Rchb.f. & Warsz.)"		Andes	1380 m	1380 m	Desconocido	
3887	ORCHIDACEAE	Cyrtochilum	Cyrtochilum turpe	(Kraenzl.) Kraenzl.		Dalstr?m 2010		Hierba, Ep?fita	Nativa	No Evaluada	Lehmann 259 (HT: W de Trigonochilum turpe (Kraenzl.) K?niger & Schildh.)		Andes	2300 m	2300 m	Nari?o	
3888	ORCHIDACEAE	Cyrtochilum	Cyrtochilum undulatum	Kunth		Dalstr?m 2010		Hierba, Ep?fita	Nativa	No Evaluada	"Humboldt 2055 (HT: P	 IT: W)"	Tipo de Colombia	Sierra Nevada de Santa Marta	2800 m	3000 m	Magdalena	
3889	ORCHIDACEAE	Cyrtochilum	Cyrtochilum ustulatum	(Rchb.f.) Kraenzl.	Oncidium ustulatum Rchb.f.	Dalstr?m 2010		Hierba, Ep?fita	Nativa	No Evaluada	Carder s.n. (HT: W)	Tipo de Colombia	Andes			Desconocido	
3890	ORCHIDACEAE	Cyrtochilum	Cyrtochilum violaceum	Dalstr?m		Dalstr?m 2012		Hierba, Ep?fita	Nativa	No Evaluada	Jaramillo 5366 (HT: COL)	Tipo de Colombia	Sierra Nevada de Santa Marta	2700 m	2900 m	Magdalena	
3891	ORCHIDACEAE	Cyrtochilum	Cyrtochilum weirii	(Rchb.f.) Dalstr?m	Odontoglossum weirii Rchb.f.	Calder?n-S?enz 2007		Hierba, Ep?fita	Nativa	Vulnerable	Ospina 1558 (COL)		Andes	2700 m	3300 m	Cundinamarca	Cordillera Oriental
3892	ORCHIDACEAE	Cyrtochilum	Cyrtochilum werneri	(Schltr.) Dalstr?m	Odontoglossum werneri (Schltr.) Garay, Oncidium werneri Schltr., Trigonochilum werneri (Schltr.) K?niger & Schildh.	Dalstr?m 2010		Hierba, Ep?fita	Nativa	No Evaluada	"Weir 17 (HT: W	 IT: K de Odontoglossum werneri (Schltr.) Garay)"		Andes	1400 m	1400 m	Cundinamarca	
3893	ORCHIDACEAE	Daiotyla	Daiotyla maculata	(Garay) Dressler	Chondrorhyncha maculata Garay	Harding 2008		Hierba, Ep?fita	Nativa	No Evaluada	Escobar 543 (HT: AMES)		Andes	1800 m	1800 m	Caldas	Colombia
3894	ORCHIDACEAE	Dichaea	Dichaea acuminata	Schltr.		Ortiz 1995		Hierba, Ep?fita	Nativa	No Evaluada	Lehmann 18 (B, destruido)	Conocida solo del tipo	Andes	1000 m	1200 m	Nari?o	Colombia
3895	ORCHIDACEAE	Dichaea	Dichaea antioquiensis	Kraenzl.		Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	C?rdenas 2206 (MO)	Tipo de Colombia	Andes	1800 m	2000 m	Antioquia	Colombia
3896	ORCHIDACEAE	Dichaea	Dichaea caquetana	Schltr.		Ortiz 1995		Hierba, Ep?fita	Nativa	No Evaluada	Hopp 112 (B, destruido)	Conocida solo del tipo	Andes	600 m	600 m	Caquet?	
3897	ORCHIDACEAE	Dichaea	Dichaea lehmanniana	Kraenzl.		Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Lehmann 7107 (W)	Conocida solo del tipo	Andes	1500 m	1800 m	Cauca	
3898	ORCHIDACEAE	Dichaea	Dichaea lehmannii	Schltr.		Ortiz 1995, Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Ortiz 338 (HPUJ)		Andes	800 m	1700 m	Antioquia, Choc?	Colombia
3899	ORCHIDACEAE	Dichaea	Dichaea selaginella	Schltr.		Ortiz 1995		Hierba, Ep?fita	Nativa	No Evaluada	Misas 181 (HPUJ)		Pac?fico	300 m	300 m	Cauca, Choc?	Colombia
3900	ORCHIDACEAE	Dimerandra	Dimerandra buenaventurae	(Kraenzl.) Siegerist		Govaerts et al. 2012		Hierba	Nativa	No Evaluada	Cogollo 4160 (JAUM)		Andes, Llanura del Caribe, Pac?fico, Sierra Nevada de Santa Marta, Valle del Magdalena	5 m	1445 m	Cesar, Magdalena, Tolima, Valle	
3901	ORCHIDACEAE	Diodonopsis	Diodonopsis pterygiophora	(Luer & R.Escobar) Pridgeon & M.W.Chase	Masdevallia pterygiophora Luer & R.Escobar, Pteroon pterygiophorum (Luer & R.Escobar) Luer	Govaerts et al. 2012		Hierba, Ep?fita	Nativa	En Peligro	Luer 2288 (HT: MO)	Tipo de Colombia	Andes	1600 m	2000 m	Antioquia	
3902	ORCHIDACEAE	Dracula	Dracula adrianae	Luer		Luer 1998b, Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	Datos Insuficientes	Sijm 20898 (HT: MO)	Tipo de Colombia				Desconocido	
3903	ORCHIDACEAE	Dracula	Dracula amaliae	Luer & R.Escobar		Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007, Govaerts et al. 2012		Hierba, Ep?fita	Nativa	Vulnerable	Escobar 1746 (HT: JAUM)	Tipo de Colombia	Andes	1800 m	2000 m	Cauca, Valle	O Colombia
3904	ORCHIDACEAE	Dracula	Dracula anthracina	Luer & R.Escobar		Luer 1993, Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	Datos Insuficientes	Luer 3457 (HT: SEL)	Tipo de Colombia	Andes	2000 m	2500 m	Boyac?	NO Colombia
3905	ORCHIDACEAE	Dracula	Dracula antonii	Luer		Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007, Govaerts et al. 2012		Hierba, Ep?fita	Nativa	Datos Insuficientes	Sijm s.n. (HT: MO)	Tipo de Colombia				Desconocido	
3906	ORCHIDACEAE	Dracula	Dracula aphrodes	Luer & R.Escobar		Luer 1993, Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	Vulnerable	Escobar 3978 (HT: JAUM)	Tipo de Colombia	Andes	1800 m	1900 m	Valle	
3907	ORCHIDACEAE	Dracula	Dracula bella	(Rchb.f.) Luer		Luer 1993, Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	Vulnerable	Wallis 218 (HT: W)	Tipo de Colombia	Andes	1700 m	2440 m	Antioquia, Choc?, Risaralda	OC Colombia
3908	ORCHIDACEAE	Dracula	Dracula bellerophon	Luer & R.Escobar		Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	En Peligro	"Luer 2894 (HT: JAUM	 IT: SEL)"	Tipo de Colombia	Andes	1900 m	2100 m	Antioquia, Valle	
3909	ORCHIDACEAE	Dracula	Dracula benedictii	(Rchb.f.) Luer		Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	Vulnerable	Luer 13178 (MO)	Tipo de Colombia	Andes	1700 m	2400 m	Antioquia, Quind?o, Risaralda, Valle	
3910	ORCHIDACEAE	Dracula	Dracula berthae	Luer & R.Escobar		Luer 1993, Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	Vulnerable	Escobar 1817 (HT: JAUM)	Tipo de Colombia	Andes	2300 m	2600 m	Boyac?	
3911	ORCHIDACEAE	Dracula	Dracula brangeri	Luer		Luer 1993, Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	Datos Insuficientes	Luer 11430 (HT: MO)	Tipo de Colombia	Andes	1900 m	1900 m	Antioquia	
3912	ORCHIDACEAE	Dracula	Dracula callithrix	N.Pel?ez et al.		Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	"Pel?ez NP0283 (HT: JAUM	 IT: HUA) "		Andes	1400 m	1400 m	Nari?o	
3913	ORCHIDACEAE	Dracula	Dracula carcinopsis	Luer & R.Escobar		Luer 1993, Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	En Peligro	Escobar 4004 (HT: JAUM)	Tipo de Colombia	Andes	1800 m	2000 m	Valle	O Colombia
3914	ORCHIDACEAE	Dracula	Dracula chestertonii	(Rchb.f.) Luer	Masdevallia macrochila Regel	Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007, Govaerts et al. 2012		Hierba, Ep?fita	Nativa	Casi Amenazada	Chesterton s.n. (HT: W)	Tipo de Colombia	Andes	1500 m	2200 m	Antioquia, Choc?, Valle	
3915	ORCHIDACEAE	Dracula	Dracula chimaera	(Rchb.f.) Luer	Masdevallia backhousiana Rchb.f., Masdevallia senilis Rchb.f., Masdevallia wallisii var. stupenda Rchb.f.	Luer 1993, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	Preocupaci?n Menor	Roezl s.n. (HT: W)	Tipo de Colombia	Andes	1300 m	2200 m	Antioquia, Cauca, Choc?, Valle	
3916	ORCHIDACEAE	Dracula	Dracula circe	Luer & R.Escobar		Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007, Govaerts et al. 2012		Hierba, Ep?fita	Nativa	Datos Insuficientes	Escobar 1883 (HT: JAUM)	Tipo de Colombia	Andes	1700 m	2000 m	Antioquia	
3917	ORCHIDACEAE	Dracula	Dracula citrina	Luer & R.Escobar		Luer 1993, Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	Vulnerable	Luer 6545 (HT: SEL)	Tipo de Colombia	Andes	2000 m	2000 m	Antioquia	
3918	ORCHIDACEAE	Dracula	Dracula cochliops	Luer & R.Escobar		Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007, Govaerts et al. 2012		Hierba, Ep?fita	Nativa	En Peligro	Luer 3127 (HT: JAUM)	Tipo de Colombia	Andes	2200 m	2200 m	Putumayo	
3919	ORCHIDACEAE	Dracula	Dracula cutis-bufonis	Luer & R.Escobar		Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007, Govaerts et al. 2012		Hierba, Ep?fita	Nativa	Vulnerable	"Escobar 1377 (HT: JAUM	 IT: K)"	Tipo de Colombia	Andes	1800 m	2050 m	Antioquia	NO Colombia
3920	ORCHIDACEAE	Dracula	Dracula decussata	Luer & R.Escobar	Dracula niesseniae P.Ortiz	Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007, Govaerts et al. 2012		Hierba, Ep?fita	Nativa	Vulnerable	Escobar 1818 (HT: JAUM)	Tipo de Colombia	Andes	1400 m	1400 m	Choc?, Valle	
3921	ORCHIDACEAE	Dracula	Dracula dens-canis	N.Pel?ez		Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	"Pel?ez NP0058 (HT: HUA	 IT: HUA,  JAUM)"		Andes	1250 m	1250 m	Risaralda	Cordillera Occidental
3922	ORCHIDACEAE	Dracula	Dracula diabola	Luer & R.Escobar		Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007, Govaerts et al. 2012		Hierba, Ep?fita	Nativa	Vulnerable	Escobar 1864 (HT: JAUM)	Tipo de Colombia	Andes	2200 m	2600 m	Boyac?	
3923	ORCHIDACEAE	Dracula	Dracula diana	Luer & R.Escobar		Luer 1993, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	Vulnerable	Escobar 1882 (HT: JAUM)	Tipo de Colombia	Andes	1500 m	1500 m	Valle	O Colombia
3924	ORCHIDACEAE	Dracula	Dracula exasperata	Luer & R.Escobar		Luer 1993, Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	Vulnerable	Escobar 3796 (HT: MO)	Tipo de Colombia	Andes	1800 m	1800 m	Putumayo	SO Colombia
3925	ORCHIDACEAE	Dracula	Dracula gerhardii	Luer & Sijm		Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	Sijm 291122 (HT: MO)		Andes			Norte de Santander	NE Colombia
3926	ORCHIDACEAE	Dracula	Dracula gorgona	(A.H.Kent) Luer & R.Escobar	Masdevallia chimaera var. gorgona A.H.Kent	Luer 1993, Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	Vulnerable	Luer 13162 (HT: MO)	Tipo de Colombia	Andes	1800 m	2200 m	Caldas, Choc?, Risaralda	NO Colombia
3927	ORCHIDACEAE	Dracula	Dracula gorgonella	Luer & R.Escobar		Luer 1993, Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	Vulnerable	Escobar 28 (HT: JAUM)	Tipo de Colombia	Andes	1800 m	2000 m	Antioquia	
3928	ORCHIDACEAE	Dracula	Dracula houtteana	(Rchb.f.) Luer	Dracula callifera (Schltr.) Luer, Dracula carderiopsis (F.Lehm. & Kraenzl.) Luer, Dracula mosquerae (F.Lehm. & Kraenzl.) Luer, Masdevallia callifera Schltr., Masdevallia carderi var. mosquerae Lehm. & Kr?nzl., Masdevallia carderiopsis F.Lehm. & Kraenzl., Masdevallia mosquerae F.Lehm. & Kraenzl.	Luer 1993, Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	Casi Amenazada	Lehmann 2335 (HT: G)	Tipo de Colombia	Andes	1800 m	2440 m	Antioquia, Cauca, Choc?, Cundinamarca, Risaralda	
3929	ORCHIDACEAE	Dracula	Dracula inaequalis	(Rchb.f.) Luer & R.Escobar	Dracula carderi (Rchb.f.) Luer, Masdevallia carderi Rchb.f.	Luer 1993, Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	Casi Amenazada	Luer 13309 (MO)	Tipo de Colombia	Andes, Pac?fico	400 m	1500 m	Antioquia, Choc?, Valle	
3930	ORCHIDACEAE	Dracula	Dracula incognita	Luer & R.Escobar		Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	Datos Insuficientes	Escobar 4008 (HT: JAUM)	Conocida solo del tipo				Antioquia	
3931	ORCHIDACEAE	Dracula	Dracula insolita	Luer & R.Escobar		Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007, Id?rraga et al. 2011		Hierba, Ep?fita	Nativa	Vulnerable	Escobar 3992 (HT: JAUM)	Tipo de Colombia	Andes	1800 m	1900 m	Valle	O Colombia
3932	ORCHIDACEAE	Dracula	Dracula lehmanniana	Luer & R.Escobar		Luer 1993, Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	Vulnerable	Luer 2982 (HT: SEL)	Tipo de Colombia	Andes	1800 m	1800 m	Cauca	
3933	ORCHIDACEAE	Dracula	Dracula lemurella	Luer & R.Escobar		Luer 1993, Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	En Peligro	Escobar 1540 (HT: JAUM)	Tipo de Colombia	Andes	1650 m	1650 m	Antioquia	
3934	ORCHIDACEAE	Dracula	Dracula ligiae	Luer & R.Escobar		Luer 1993, Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	Vulnerable	Escobar 3979 (HT: JAUM)	Tipo de Colombia	Andes	2050 m	2050 m	Antioquia	
3935	ORCHIDACEAE	Dracula	Dracula minax	Luer & R.Escobar		Luer 1993, Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	Vulnerable	Escobar 682 (HT: JAUM)	Conocida solo del tipo	Andes	1000 m	1000 m	Antioquia	
3936	ORCHIDACEAE	Dracula	Dracula nosferatu	Luer & R.Escobar		Luer 1993, Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	En Peligro	"Escobar 3977 (HT: JAUM	 IT: K, MO)"	Tipo de Colombia	Andes	2400 m	2400 m	Antioquia	
3937	ORCHIDACEAE	Dracula	Dracula nycterina	(Rchb.f.) Luer	Masdevallia chimaera Andr?	Luer 1993, Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	En Peligro	Luer 1839 (SEL)	Tipo de Colombia	Andes	1200 m	1830 m	Antioquia	
3938	ORCHIDACEAE	Dracula	Dracula octavioi	Luer & R.Escobar		Luer 1993, Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	En Peligro	Escobar 2001 (HT: JAUM)	Tipo de Colombia	Andes	2300 m	2300 m	Putumayo	SO Colombia
3939	ORCHIDACEAE	Dracula	Dracula ophioceps	Luer & R.Escobar		Luer 1993, Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	En Peligro	Escobar 1298 (HT: JAUM)	Tipo de Colombia	Andes	1620 m	1620 m	Cauca	SO Colombia
3940	ORCHIDACEAE	Dracula	Dracula orientalis	Luer & R.Escobar		Luer 1993, Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	Vulnerable	Luer 7935 (HT: SEL)	Tipo de Colombia	Andes	2050 m	2050 m	Norte de Santander	NE Colombia
3941	ORCHIDACEAE	Dracula	Dracula ortiziana	Luer & R.Escobar		Luer 1993, Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	Vulnerable	Escobar 4085 (HT: JAUM)	Tipo de Colombia	Andes	2200 m	2500 m	Valle	O Colombia
3942	ORCHIDACEAE	Dracula	Dracula pholeodytes	Luer & R.Escobar		Luer 1993, Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	Vulnerable	Luer 1976 (HT: SEL)	Tipo de Colombia	Andes	2500 m	2500 m	Boyac?	NE Colombia
3943	ORCHIDACEAE	Dracula	Dracula pileus	Luer & R.Escobar		Luer 1993, Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	Datos Insuficientes	"Escobar 1880 (HT: JAUM	 IT: SEL)"	Tipo de Colombia	Andes	1700 m	2000 m	Antioquia	O Colombia
3944	ORCHIDACEAE	Dracula	Dracula posadarum	Luer & R.Escobar		Luer 1993, Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	Vulnerable	Escobar 1904 (HT: JAUM)	Tipo de Colombia	Andes	2000 m	2000 m	Antioquia	
3945	ORCHIDACEAE	Dracula	Dracula presbys	Luer & R.Escobar		Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007, Id?rraga et al. 2011		Hierba, Ep?fita	Nativa	Datos Insuficientes	Luer 14092 (HT: SEL)	Tipo de Colombia				Antioquia	
3946	ORCHIDACEAE	Dracula	Dracula psittacina	(Rchb.f.) Luer & R.Escobar		Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007, Id?rraga et al. 2011		Hierba, Ep?fita	Nativa	Vulnerable	Lawrence s.n. (HT: W)	Tipo de Colombia	Andes	2200 m	2400 m	Antioquia, Cundinamarca	
3947	ORCHIDACEAE	Dracula	Dracula robledorum	(P.Ortiz) Luer & R.Escobar		Luer 1993, Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	En Peligro	Segura s.n. (HT: K)	Tipo de Colombia	Andes	2000 m	2200 m	Antioquia, Risaralda	
3948	ORCHIDACEAE	Dracula	Dracula roezlii	(Rchb.f.) Luer	Masdevallia chimaera var. roezlii (Rchb.f.) A.H.Kent, Masdevallia chimaera var. roezlii subvar. rubra Warner & Wms., Masdevallia chimaera var. winniana (Rchb.f.) A.H.Kent, Masdevallia roezlii var. rubra Williams, Masdevallia winniana Rchb.f.	Luer 1993, Calder?n-S?enz & Farf?n 2003, Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	Vulnerable	Roezl s.n. (HT: W)	Tipo de Colombia	Andes	1800 m	2300 m	Antioquia, Risaralda	
